sondeur,date dÃ©but,Nicolas Sarkozy,Ségolène Royal
Ifop,13/10/06,"53,00%","47,00%"
Sofres,13/10/06,"53,00%","47,00%"
CSA,18/10/06,"48,00%","52,00%"
CSA,08/11/06,"49,00%","51,00%"
Ipsos,13/11/06,"50,00%","50,00%"
Ifop,18/11/06,"49,00%","51,00%"
Ifop,30/11/06,"50,00%","50,00%"
Ipsos,1er décembre 2006,"51,00%","49,00%"
Ipsos,11/12/06,"50,00%","50,00%"
CSA,03/01/07,"48,00%","52,00%"
Ifop,07/01/07,"49,50%","50,50%"
Ipsos,08/01/07,"50,00%","50,00%"
Ifop,15/01/07,"52,00%","48,00%"
CSA,17/01/07,"51,00%","49,00%"
Sofres,18/01/07,"52,00%","48,00%"
Ifop,19/01/07,"52,00%","48,00%"
Ipsos,22/01/07,"52,00%","48,00%"
Ifop,25/01/07,"52,00%","48,00%"
Ipsos,29/01/07,"54,00%","46,00%"
LH2,29/01/07,"51,00%","49,00%"
CSA,31/01/07,"53,00%","47,00%"
Sofres,1er février 2007,"53,00%","47,00%"
LH2,03/02/07,"52,00%","48,00%"
Ipsos,05/02/07,"53,00%","47,00%"
BVA,08/02/07,"52,00%","48,00%"
Sofres,09/02/07,"54,00%","46,00%"
Ipsos,10/02/07,"54,00%","46,00%"
LH2,10/02/07,"53,00%","47,00%"
Ifop,12/02/07,"54,00%","46,00%"
Ipsos,12/02/07,"53,00%","47,00%"
BVA,14/02/07,"53,00%","47,00%"
CSA,15/02/07,"54,00%","46,00%"
Sofres,17/02/07,"55,00%","45,00%"
CSA,17/02/07,"55,00%","45,00%"
Ipsos,19/02/07,"54,00%","46,00%"
LH2,19/02/07,"54,00%","46,00%"
Ifop,19/02/07,"53,00%","47,00%"
CSA,21/02/07,"51,00%","49,00%"
BVA,21/02/07,"52,00%","48,00%"
Ifop,26/02/07,"50,50%","49,50%"
LH2,26/02/07,"50,00%","50,00%"
Ipsos,26/02/07,"53,00%","47,00%"
Ifop,27/02/07,"52,00%","48,00%"
CSA,28/02/07,"52,00%","48,00%"
Ipsos,1er mars 2007,"53,50%","46,50%"
BVA,1er mars 2007,"53,00%","47,00%"
Sofres,05/03/07,"54,00%","46,00%"
Ipsos,05/03/07,"54,50%","45,50%"
LH2,05/03/07,"52,00%","48,00%"
CSA,07/03/07,"53,00%","47,00%"
BVA,08/03/07,"53,00%","47,00%"
Ipsos,08/03/07,"53,00%","47,00%"
Ipsos,11/03/07,"53,50%","46,50%"
LH2,12/03/07,"52,00%","48,00%"
Sofres,12/03/07,"52,00%","48,00%"
CSA,14/03/07,"53,00%","47,00%"
Ipsos,15/03/07,"53,00%","47,00%"
Sofres,17/03/07,"54,00%","46,00%"
BVA,17/03/07,"51,00%","49,00%"
Ifop,18/03/07,"51,50%","48,50%"
Ipsos,18/03/07,"52,00%","48,00%"
LH2,19/03/07,"52,00%","48,00%"
CSA,21/03/07,"50,00%","50,00%"
Ifop,22/03/07,"53,00%","47,00%"
BVA,22/03/07,"54,00%","46,00%"
Ipsos,22/03/07,"53,00%","47,00%"
Sofres,24/03/07,"52,00%","48,00%"
Ifop,25/03/07,"52,00%","48,00%"
Ipsos,25/03/07,"53,00%","47,00%"
LH2,26/03/07,"51,00%","49,00%"
CSA,29/03/07,"52,00%","48,00%"
BVA,29/03/07,"51,00%","49,00%"
Ipsos,29/03/07,"53,50%","46,50%"
Ifop,1er avril 2007,"54,00%","46,00%"
Sofres,02/04/07,"52,00%","48,00%"
LH2,02/04/07,"51,00%","49,00%"
Ipsos,03/04/07,"54,00%","46,00%"
Ifop,04/04/07,"52,00%","48,00%"
BVA,05/04/07,"54,00%","46,00%"
CSA,05/04/07,"53,00%","47,00%"
Sofres,06/04/07,"54,00%","46,00%"
Ifop,08/04/07,"54,00%","46,00%"
Ipsos,08/04/07,"54,00%","46,00%"
LH2,09/04/07,"52,00%","48,00%"
CSA,12/04/07,"53,00%","47,00%"
BVA,12/04/07,"55,00%","45,00%"
Ipsos,12/04/07,"53,50%","46,50%"
Sofres,13/04/07,"52,00%","48,00%"
CSA,14/04/07,"51,00%","49,00%"
Ipsos,15/04/07,"53,00%","47,00%"
Ifop,15/04/07,"53,00%","47,00%"
LH2,16/04/07,"51,00%","49,00%"
CSA,17/04/07,"50,00%","50,00%"
Ifop,18/04/07,"53,00%","47,00%"
Sofres,18/04/07,"51,00%","49,00%"
Sofres,19/04/07,"53,00%","47,00%"
BVA,19/04/07,"53,00%","47,00%"
Ipsos,20/04/07,"53,50%","46,50%"
CSA,23/04/07,"53,50%","46,50%"
LH2,23/04/07,"54,00%","46,00%"
BVA,23/04/07,"52,00%","48,00%"
Ipsos,23/04/07,"54,00%","46,00%"
BVA,25/04/07,"53,00%","47,00%"
CSA,25/04/07,"52,00%","48,00%"
Ifop,26/04/07,"53,00%","47,00%"
Sofres,26/04/07,"51,00%","49,00%"
Ifop,28/04/07,"52,50%","47,50%"
Sofres,28/04/07,"52,00%","48,00%"
Ipsos,28/04/07,"52,50%","47,50%"
BVA,30/04/07,"52,00%","48,00%"
Ifop,1er mai 2007,"53,00%","47,00%"
Ipsos,02/05/07,"53,50%","46,50%"
CSA,03/05/07,"53,00%","47,00%"
Sofres,04/05/07,"54,50%","45,50%"
Ipsos,04/05/07,"54,00%","46,00%"
Ifop,04/05/07,"53,00%","47,00%"
