sondeur,source,date début,date fin,échantillon,Arlette Laguiller,Pierre Boussel,André Lajoinie,Pierre Juquin,François Mitterand,Antoine Waechter,Raymond Barre,Jacques Chirac,Jean-Marie Le Pen
Sofres,Sofres,1988-01-08,1988-01-12,,1,0,5,2,40,0.5,23,19.5,9
Ipsos,Ipsos,1988-01-11,1988-01-20,,1,0,4,2,37,3,21,21,11
Ipsos,Ipsos,1988-01-20,1988-01-26,,1,0,4,2,41.5,3,19,21.5,10
Sofres,Sofres,1988-02-01,1988-02-03,,0.5,0,4.5,2,39,1,21,22,10
Ipsos,Ipsos,1988-02-01,1988-02-04,,1,0,5.5,3,36,1.5,19,23,11
Ipsos,Ipsos,1988-02-15,1988-02-19,,1,0,6.5,2.5,35.5,1.5,19,23,11
Sofres,Sofres,1988-03-01,1988-03-03,,1,0,5.5,2,38,2,20,21.5,10
Sofres,Sofres,1988-04-01,1988-04-02,,1,0,6,3,37,2.5,15,24,11.5
Sofres,Sofres,1988-04-08,1988-04-09,,1,0,7,2,36,2.5,17,23.5,11
Sofres,Sofres,1988-04-20,1988-04-21,,1.5,0,7,2,35,2.5,16.5,23.5,12
