sondeur,source,date début,date fin,échantillon,Arlette Laguiller,Robert Hue,Lionel Jospin,Dominique Voynet,Édouard Balladur,Jacques Chirac,Philippe de Villiers,Jean-Marie Le Pen,Jacques Cheminade
TNS Sofres,TNS Sofres,1995-01-10,1995-01-12,,2.5,6,20,4,29,17,9,11.5,0
TNS Sofres,TNS Sofres,1995-01-24,1995-01-26,,3,7,17,3,32,18,7,12,0
TNS Sofres,TNS Sofres,1995-02-07,1995-02-09,,3,7,22.5,4,28,17.5,6.5,10.5,0
TNS Sofres,TNS Sofres,1995-02-21,1995-02-23,,3,7,24,5,23.5,19,7.5,11,0
TNS Sofres,TNS Sofres,1995-03-08,1995-03-09,,4,9,21,3.5,20,24,7.5,10.5,0
TNS Sofres,TNS Sofres,1995-03-11,1995-03-13,,3.5,8,20,2.5,20,27,6.5,12,0
TNS Sofres,TNS Sofres,1995-03-21,1995-03-22,,3,8.5,22,2.5,17,26,7,13,0
TNS Sofres,TNS Sofres,1995-03-25,1995-03-27,,3.5,8,21,3.5,18,26,6.5,13,0
TNS Sofres,TNS Sofres,1995-04-04,1995-04-05,,4.5,8,22,3.5,20,24,5.5,12,0.5
TNS Sofres,TNS Sofres,1995-04-08,1995-04-10,,4.5,8.5,21,3,19,26,5,13,0
TNS Sofres,TNS Sofres,1995-04-13,1995-04-14,,5,8.5,21,3.5,16,26,6.5,13,0.5
TNS Sofres,TNS Sofres,1995-04-20,1995-04-21,,5,9.5,20.5,4,16.5,24,6,14,0.5
