sondeur,source,date début,date fin,échantillon,"Arlette Laguiller","Olivier Besancenot","Robert Hue","Lionel Jospin","Christiane Taubira","Noël Mamère","Jean-Pierre Chevènement","Corinne Lepage","François Bayrou","Christine Boutin","Jacques Chirac","Alain Madelin","Charles Pasqua","Jean Saint-Josse","Jean-Marie Le Pen","Bruno Mégret"
Ifop,,2002-02-28,2002-03-01,,9,0.5,4,21,0.5,7,10,0.5,3,1,22,3,3,3,8,1
BVA,,2002-02-28,2002-03-02,,8,0.5,6,24,0.5,5,8,1,4,1,21,4,2,2.5,11,1.5
Ipsos,,2002-03-01,2002-03-02,,8,1,6,21,0.5,6,10,0.5,4,0.5,24,3,2.5,3,9,1
Sofres,,2002-03-08,2002-03-09,,9,0.5,5.5,22,0.5,5,7.5,1,4,1,23,4,3,1.5,11,1.5
Ipsos,,2002-03-08,2002-03-09,,8,0.5,6,22,0.5,6,11,0.5,3,1,24,3,3,2,8,1.5
Louis Harris,,2002-03-08,2002-03-09,,8,1,5,23,0,5,10,1,3,1,24,3,2,2,10,2
Sofres,,2002-03-14,2002-03-15,,9,1,5.5,20,0.5,6,7,1,4,1,24,4,3,2,10,1
Sofres,,2002-03-13,2002-03-16,,9.5,1,5.5,21,0.5,6,6.5,0.5,4.5,1,23.5,4,2.5,3,10,1
BVA,,2002-03-14,2002-03-16,,9,1,6,22,0.5,5,7,2,3.5,0.5,25,3.5,3,1.5,10,0.5
Ipsos,,2002-03-15,2002-03-16,,9,0.5,5.5,21,0.5,5.5,10,1,4,1,23,3,3,1.5,10,1.5
BVA,,2002-03-21,2002-03-23,,10,1,5.5,23,1,5.5,6.5,1,4,0.5,23,3.5,1,2.5,11,1
Ipsos,,2002-03-22,2002-03-23,,10,0.5,5,22,0.5,5.5,9,0.5,5,1,24,2.5,2,2.5,9,1
Sofres,,2002-03-22,2002-03-23,,10,1,6,21,0.5,5.5,7.5,1,4,1,23,4,1.5,3,10,1
Ifop,,2002-03-28,2002-03-29,,10,1,4.5,20.5,1,7,9,1,5.5,0.5,21,2,2,2.5,10,1
BVA,,2002-03-28,2002-03-30,,11,0.5,6,20,0.5,6.5,6.5,0.5,5,1,20,4,2,2,13,1.5
Ipsos,,2002-03-29,2002-03-30,,10,1,5,20,0.5,5,8,0.5,5,1,24,3,2,3.5,10,1.5
Louis Harris,,2002-03-29,2002-03-30,,10,1,6,21,0.5,6,8,1,4.5,1.5,21,3.5,2,3,10,1
