sondeur,source,date début,date fin,échantillon,Jacques Chirac,Lionel Jospin
TNS Sofres,,2002-01-05,2002-01-05,,51,49
TNS Sofres,,2002-01-11,2002-01-12,,51,49
TNS Sofres,,2002-02-01,2002-02-02,,50,50
TNS Sofres,,2002-02-13,2002-02-15,,50,50
TNS Sofres,,2002-02-22,2002-02-23,,49,51
TNS Sofres,,2002-02-27,2002-02-28,,49,51
TNS Sofres,,2002-03-08,2002-03-09,,48.5,51.5
TNS Sofres,,2002-03-14,2002-03-15,,49.5,50.5
TNS Sofres,,2002-03-13,2002-03-16,,49,51
TNS Sofres,,2002-03-22,2002-03-23,,49,51
TNS Sofres,,2002-03-27,2002-03-28,,49,51
TNS Sofres,,2002-04-03,2002-04-04,,51,49
TNS Sofres,,2002-04-10,2002-04-11,,50,50
TNS Sofres,,2002-04-13,2002-04-15,,51,49
TNS Sofres,,2002-04-17,2002-04-18,,50,50
