sondeur,source,date début,date fin,échantillon,Nathalie Arthaud,Philippe Poutou,Jean-Luc Mélenchon,François Hollande,Eva Joly,François Bayrou,Nicolas Sarkozy,Nicolas Dupont-Aignan,Marine Le Pen,Jacques Cheminade
LH2,,2012-04-01,2012-04-02,,1,1,15,28.5,2,12,27.5,1,13.5,0
Ipsos,,2012-04-03,2012-04-04,,0.5,1,14.5,27.5,2,10,29.5,1,14,0
BVA,,2012-04-03,2012-04-04,,1,1,14,28,2,11,27,1,15,0
Harris,,2012-04-03,2012-04-04,,0.5,0.5,14,26,3,10,29,1,16,0
CSA,,2012-04-04,2012-04-05,,0.5,0.5,15,29,1.5,10,30,0.5,13,0
OpinionWay,,2012-04-05,2012-04-06,,0.5,1,14,26,2,11,28.5,1,16,0
Harris,,2012-04-10,2012-04-11,,1,1,13,27,3,10,28,1,16,0
Ipsos,,2012-04-10,2012-04-11,,0.5,0.5,14.5,28.5,1.5,9.5,29,1,15,0
Ifop,,2012-04-10,2012-04-11,,0.5,0.5,14.5,27,2.5,9.5,28.5,1,16.5,0
OpinionWay,,2012-04-12,2012-04-13,,1,0.5,13,28,2.5,10,27,2,16,0
LH2,,2012-04-12,2012-04-13,,1,1,13,29.5,2.5,10.5,27,1.5,14,0
BVA,,2012-04-12,2012-04-13,,0.5,0.5,13,30,2,11,27,0.5,15,0.5
Sofres,,2012-04-13,2012-04-14,,1,0.5,16,28,2.5,9,26,1,16,0
CSA,,2012-04-13,2012-04-14,,0,0,17,27,1.5,11,26,1,15,0
Ifop,,2012-04-16,2012-04-17,,0.5,1,14.5,28,3,9.5,27,1,15.5,0
Ipsos,,2012-04-17,2012-04-18,,1,1,14.5,27,2.5,10,27,1,15.5,0.5
Harris,,2012-04-17,2012-04-18,,0.5,1,12,27,2,11,28,1.5,17,0
CSA,,2012-04-17,2012-04-18,,0.5,1,15,28,2,11,24,1.5,17,0
