sondeur,source,date début,date fin,échantillon,Jacques Cheminade,Nathalie Arthaud,Philippe Poutou,Jean-Luc Mélenchon,Yannick Jadot,Benoît Hamon,Emmanuel Macron,François Bayrou,François Fillon,Nicolas Dupont-Aignan,Marine Le Pen
Elabe,ELABE pour LES ECHOS et RADIO CLASSIQUE,2017-01-03,2017-01-04,995,0,0.5,2,13,1,6,21,8,24,1.5,23
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-03,2017-01-06,1860,0.5,1,1,11.5,2,6,19,7,24.5,1.5,26
BVA,BVA,2017-01-06,2017-01-08,946,0,1,0.5,12.5,2.5,6,20,6,24,1.5,26
Kantar Sofres – OnePoint,"Kantar Sofres – OnePoint pour Le Figaro, RTL et LCI",2017-01-26,2017-01-27,1032,0,0.5,0.5,10,2,13,20,5,21,3,25
Elabe,ELABE pour LES ECHOS et RADIO CLASSIQUE,2017-01-30,2017-01-31,993,0,0.5,0.5,10,1,16,22,4,19,1,26
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-29,2017-02-01,1409,0,0,0.5,9,1,18,20,4.5,21,2,24
BVA,BVA,2017-02-01,2017-02-02,955,0,0.5,0.5,11,1,16,21,5,18,2,25
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-02,2017-02-06,1433,0,0.5,1,10,1,15.5,20.5,5,18.5,2.5,25.5
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-03,2017-02-07,1424,0,0.5,1,10.5,1,14.5,21,5,18.5,2,26
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-05,2017-02-08,1409,0,0.5,0.5,10.5,1.5,14.5,21,5.5,18,2,26
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-02-07,2017-02-08,961,0,0.5,0.5,12,1,15,22,5,17,1.5,25.5
Harris Interactive,Harris Interactive pour France Télévisions l’Emission Politique,2017-02-06,2017-02-08,5432,0,0,1,12,2,14,21,5,19,2,24
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-06,2017-02-08,1409,0,0.5,0.5,10.5,1.5,14.5,21,5.5,18,2,26
Ipsos,©Ipsos CEVIPOF LE MONDE –EEF 2017 ,2017-02-07,2017-02-12,15874,0,0.5,0.5,11.5,2,14,20,6,17.5,3,25
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-09,2017-02-13,1392,0,0.5,0.5,11.5,1.5,14.5,19.5,5.5,18,2.5,26
Dedicated Research,Dedicated Research,2017-02-10,2017-02-14,2066,0,1.3,0.6,12.7,2.1,16.4,21.3,4.9,16.7,1.9,22.1
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-14,2017-02-16,1396,0,1,0.5,11,2,14,19.5,5,18.5,2.5,26
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-02-18,2017-02-20,1051,0,1,1,12,1,12,17,6,20,3,27
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-17,2017-02-21,1386,0,0.5,1,11.5,1.5,14,19,5.5,19,2,26
