sondeur,source,date début,date fin,échantillon,François Fillon,Marine Le Pen
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-03,2017-01-06,1860,64,36
BVA,BVA,2017-01-06,2017-01-08,946,63,37
Ipsos,Ipsos / Sopra Steria pour France 2,2017-01-20,2017-01-20,1443,62,38
Kantar Sofres - OnePoint,"Kantar Sofres – OnePoint pour Le Figaro, RTL et LCI",2017-01-26,2017-01-27,1032,60,40
Elabe,ELABE pour LES ECHOS et RADIO CLASSIQUE,2017-01-30,2017-01-31,993,59,41
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-29,2017-02-01,1409,60,40
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-30,2017-02-02,1414,59,41
BVA,BVA,2017-02-01,2017-02-02,955,60,40
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-03,2017-02-05,1700,61,39
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-04,2017-02-06,1568,60,40
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-05,2017-02-07,1487,62,38
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-02-07,2017-02-08,961,56,44
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-13,2017-02-15,1602,57,43
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-17,2017-02-19,1534,56,44
Dedicated Research,Dedicated Research,2017-02-10,2017-02-14,2066,61.15,38.85
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-17,2017-02-19,1534,56,44
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-18,2017-02-20,1535,57,43
BVA,BVA,2017-02-19,2017-02-20,940,55,45
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-02-17,2017-02-21,1386,57,43
Harris Interactive,Harris Interactive pour France Télévisions l’Emission Politique,2017-02-20,2017-02-22,5249,57,43
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-20,2017-02-24,1500,58,42
Odoxa,Sondage Odoxa pour Dentsu Consulting et France 2,2017-02-22,2017-02-23,879,57.5,42.5
Kantar Sofres,Kantar Sofres – OnePoint,2017-02-23,2017-02-24,1005,55,45
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-02-28,2017-03-02,1591,58,42
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-02-27,2017-03-03,1500,57,43
Ipsos,©Ipsos CEVIPOF FJJ LE MONDE – EEF 2017,2017-03-01,2017-03-05,15887,55,45
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-03-05,2017-03-06,1052,60,40
Harris Interactive,Harris Interactive pour France Télévisions l’Emission Politique,2017-03-06,2017-03-08,4533,59,41
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-03-03,2017-03-09,1500,60,40
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-03-13,2017-03-17,1500,55,45
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-03-17,2017-03-19,3010,56,44
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-03-21,2017-03-21,997,54,46
Harris Interactive,L’ÉMISSION POLITIQUE DE FRANCE 2,2017-03-21,2017-03-22,6383,58,42
OpinionWay,Sondage OpinionWay/ORPI pour Les Echos & Radio Classique,2017-03-17,2017-03-23,1500,57,43
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-03-28,2017-03-29,1040,56,44
