sondeur,source,date début,date fin,échantillon,Emmanuel Macron,François Fillon
Ifop-Fiducial,"Ifop – Fiducial pour iTELE, Paris Match et Sud Radio",2017-01-03,2017-01-03,1860,52,48
Ipsos,Ipsos / Sopra Steria pour France 2,2017-01-20,2017-01-20,1443,54,46
Kantar Sofres – OnePoint,"Kantar Sofres – OnePoint pour Le Figaro, RTL et LCI",2017-01-26,2017-01-27,1032,58,42
Dedicated Research,Dedicated Research,2017-02-10,2017-02-14,2066,64.96,35.04
Ipsos,©Ipsos CEVIPOF FJJ LE MONDE – EEF 2017,2017-03-01,2017-03-05,15887,66,34
Scan Research,Scan Research – Le Terrain  2017,2017-03-23,2017-03-27,621,72,28
Kantar Sofres,Kantar Sofres – OnePoint,2017-04-05,2017-04-07,1515,66,34
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-04-09,2017-04-10,807,65,35
Harris Interactive,Harris Interactive pour LCP ASSEMBLEE NATIONALE,2017-04-11,2017-04-13,1002,70,30
Ipsos,©Ipsos. PRÉSIDENTIELLE 2017,2017-04-12,2017-04-13,1509,64,36
Odoxa,Sondage Odoxa avec Dentsu Consulting pour Le Point,2017-04-12,2017-04-13,1001,67,33
BVA,BVA,2017-04-12,2017-04-14,1439,64,36
Kantar Sofres, Kantar Sofres - OnePoint,2017-04-14,2017-04-17,1530,65,35
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-04-16,2017-04-17,1438,65,35
Scan Research,Scan Research – Le Terrain  2017,2017-04-13,2017-04-15,642,67,33
Ipsos,Sopra Steria pour Le Monde et SciencePo,2017-04-16,2017-04-17,8274,64,36
BVA,BVA,2017-04-18,2017-04-19,1427,67,33
