sondeur,source,date début,date fin,échantillon,Jean-Luc Mélenchon,Marine Le Pen
Dedicated Research,Dedicated Research,2017-02-10,2017-02-14,2066,53.95,46.05
Scan Research,Scan Research – Le Terrain  2017,2017-03-23,2017-03-27,621,68,32
Kantar Sofres,Kantar Sofres – OnePoint,2017-04-05,2017-04-07,1515,57,43
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-04-09,2017-04-10,807,61,39
Harris Interactive,Harris Interactive pour LCP ASSEMBLEE NATIONALE,2017-04-11,2017-04-13,1002,64,36
Ipsos,©Ipsos. PRÉSIDENTIELLE 2017,2017-04-12,2017-04-13,1509,60,40
Odoxa,Sondage Odoxa avec Dentsu Consulting pour Le Point,2017-04-12,2017-04-13,1001,58,42
BVA,BVA,2017-04-12,2017-04-14,1439,60,40
Kantar Sofres, Kantar Sofres - OnePoint,2017-04-14,2017-04-17,1530,57,43
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-04-16,2017-04-17,1438,58,42
Scan Research,Scan Research – Le Terrain  2017,2017-04-13,2017-04-15,642,64,36
Ipsos-Cevipof,Sopra Steria pour Le Monde et SciencePo,2017-04-16,2017-04-17,8274,57,43

