sondeur,source,date début,date fin,échantillon,Emmanuel Macron,Jean-Luc Mélenchon
Scan Research,Scan Research – Le Terrain  2017,2017-03-23,2017-03-27,621,57,43
Kantar Sofres,Kantar Sofres – OnePoint,2017-04-05,2017-04-07,1515,53,47
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-04-09,2017-04-10,807,55,45
Harris Interactive,Harris Interactive pour LCP ASSEMBLEE NATIONALE,2017-04-11,2017-04-13,1002,58,42
Ipsos,©Ipsos. PRÉSIDENTIELLE 2017,2017-04-12,2017-04-13,1509,55,45
Odoxa,Sondage Odoxa avec Dentsu Consulting pour Le Point,2017-04-12,2017-04-13,1001,60,40
BVA,BVA,2017-04-12,2017-04-14,1439,58,42
Kantar Sofres, Kantar Sofres - OnePoint,2017-04-14,2017-04-17,1530,59,41
Elabe,ELABE pour BFMTV et L’EXPRESS,2017-04-16,2017-04-17,1438,59,41
Scan Research,Scan Research – Le Terrain  2017,2017-04-13,2017-04-15,642,58,42
Ipsos-Cevipof,Sopra Steria pour Le Monde et SciencePo,2017-04-16,2017-04-17,8274,57,43
