sondeur,source,date début,date fin,échantillon,Emmanuel Macron,Valérie Pécresse
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-02,2022-01-05,1501,53,47
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-08,2022-01-11,1613,54,46
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-02,2022-01-03,1059,54,46
Opinion Way,Opinion Way pour VSD,2021-12-21,2021-12-22,1048,53,47
Ifop,"Ifop pour Paris Match, LCI, Sud Radio",2022-01-06,2022-01-10,1373,54,46
Harris Interactive,Harris Interactive pour Challenges,2021-12-28,2021-12-31,2183,51,49
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-02,2022-01-04,1568,53,47
Ipsos,"Ipsos pour Le Parisien, France Info",2022-01-05,2022-01-06,780,55,45
Elabe,"Elabe pour BFM TV, L'Express, SFR",2021-12-17,2021-12-20,1081,51,49
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-04,2022-01-07,1561,52,48
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-03,2022-01-06,1534,52,48
Opinion Way,"Opinion Way pour Les Echos, Radio Classique, Kea Partners",2022-01-07,2022-01-10,1644,54,46
