sondeur,date dÃ©but,"Arlette Laguiller
(LO)","Olivier Besancenot
(NPA)","Marie-George Buffet
(PCF)","Gérard Schivardi
(PT)","Ségolène Royal
(PS)","José Bové
(SE)","Dominique Voynet
(LV)","François Bayrou
(UDF)","Nicolas Sarkozy
(UMP)","Philippe de Villiers
(MPF)","Frédéric Nihous
(CPNT)","Jean-Marie Le Pen
(FN)"
Sofres,05/10/06,"3,00%","5,00%","3,00%",,"29,50%",,"2,00%","7,00%","38,00%","3,00%",-,"9,50%"
Ifop,13/10/06,"2,00%","5,00%","4,00%",,"26,00%",,"2,00%","12,00%","32,00%","4,00%",-,"13,00%"
Sofres,13/10/06,"3,00%","4,00%","2,00%",,"34,00%",,"1,00%","7,00%","36,00%","2,00%",-,"11,00%"
CSA,18/10/06,"4,00%","4,00%","3,00%",,"32,00%",,"2,00%","7,00%","31,00%","2,00%",-,"15,00%"
CSA,08/11/06,"3,00%","4,00%","4,00%",,"29,00%",,"3,00%","7,00%","30,00%","2,00%",-,"15,00%"
Sofres,11/11/06,"2,50%","4,00%","2,00%",,"34,00%",,"1,50%","7,00%","34,00%","2,00%",-,"13,00%"
Ipsos,13/11/06,"3,00%","4,00%","3,00%",,"30,00%",,"2,00%","8,00%","34,00%","4,00%","0,50%","10,00%"
Ifop,18/11/06,"3,00%","5,00%","4,00%",,"29,00%",,"2,00%","11,00%","29,00%","2,00%",-,"11,00%"
CSA,21/11/06,"3,00%","5,00%","3,00%",,"32,00%",,"2,00%","6,00%","29,00%","2,00%",-,"17,00%"
Ifop,30/11/06,"2,00%","4,00%","3,00%",,"31,00%",,"4,00%","11,00%","30,00%","2,00%",-,"12,00%"
Ipsos,01/12/06,"2,00%","3,00%","3,00%",,"31,00%",,"1,50%","8,00%","35,00%","2,50%","0,50%","12,50%"
Sofres,06/12/06,"3,50%","3,50%","2,00%",,"33,00%",,"2,00%","8,00%","33,00%","2,00%",-,"11,50%"
Ipsos,11/12/06,"2,00%","4,00%","2,00%",,"32,00%",,"1,50%","9,00%","34,00%","2,00%","1,00%","11,50%"
CSA,13/12/06,"3,00%","4,00%","3,00%",,"31,00%",,"2,00%","8,00%","30,00%","3,00%",-,"16,00%"
Ifop,02/01/07,"4,00%","4,00%","2,00%",-,"31,00%",-,"2,00%","9,00%","32,00%","2,00%",-,"13,00%"
CSA,03/01/07,"3,00%","2,00%","5,00%",-,"34,00%",-,"1,00%","6,00%","32,00%","2,00%",-,"15,00%"
